datetime,DOsp_1,error_1,error_2,NH4_1,NO3_1,P,I,D
2019-08-27 20:14:00,0.02,-5.4854,-5.4886,5.4212,10.9066,0.1,0.0025,0.1
2019-08-27 20:15:00,0.02,-5.4924,-5.4854,5.4233,10.9157,0.1,0.0025,0.1
2019-08-27 20:16:00,0.02,-5.4868,-5.4924,5.4334,10.9202,0.1,0.0025,0.1
2019-08-27 20:17:00,0.02,-5.4545,-5.4868,5.4509,10.9054,0.1,0.0025,0.1
2019-08-27 20:18:00,0.02,-5.4265,-5.4545,5.469,10.8955,0.1,0.0025,0.1
2019-08-27 20:19:00,0.02,-5.3734,-5.4265,5.4935,10.867,0.1,0.0025,0.1
2019-08-27 20:20:00,0.02,-5.3822,-5.3734,5.4988,10.881,0.1,0.0025,0.1
2019-08-27 20:21:00,0.02,-5.3615,-5.3822,5.5139,10.8754,0.1,0.0025,0.1
2019-08-27 20:22:00,0.02,-5.356,-5.3615,5.5241,10.8801,0.1,0.0025,0.1
2019-08-27 20:23:00,0.02,-5.3501,-5.356,5.5345,10.8846,0.1,0.0025,0.1
2019-08-27 20:24:00,0.02,-5.3336,-5.3501,5.5552,10.8888,0.1,0.0025,0.1
2019-08-27 20:25:00,0.0204,-5.2575,-5.3336,5.5933,10.8508,0.1,0.0025,0.1
2019-08-27 20:26:00,0.02,-5.228,-5.2575,5.6036,10.8316,0.1,0.0025,0.1
2019-08-27 20:27:00,0.02,-5.2439,-5.228,5.6061,10.8499,0.1,0.0025,0.1
2019-08-27 20:28:00,0.02,-5.2094,-5.2439,5.6266,10.836,0.1,0.0025,0.1
2019-08-27 20:29:00,0.02,-5.1828,-5.2094,5.6477,10.8304,0.1,0.0025,0.1
2019-08-27 20:30:00,0.02,-5.1628,-5.1828,5.663,10.8258,0.1,0.0025,0.1
2019-08-27 20:31:00,0.02,-5.1377,-5.1628,5.6785,10.8162,0.1,0.0025,0.1
2019-08-27 20:32:00,0.02,-5.0887,-5.1377,5.699,10.7877,0.1,0.0025,0.1
2019-08-27 20:33:00,0.02,-5.1319,-5.0887,5.6886,10.8205,0.1,0.0025,0.1
2019-08-27 20:34:00,0.02,-5.1044,-5.1319,5.6965,10.8009,0.1,0.0025,0.1
2019-08-27 20:35:00,0.02,-5.0736,-5.1044,5.7125,10.7861,0.1,0.0025,0.1
2019-08-27 20:36:00,0.02,-5.0796,-5.0736,5.7155,10.7951,0.1,0.0025,0.1
2019-08-27 20:37:00,0.02,-5.0566,-5.0796,5.7285,10.7851,0.1,0.0025,0.1
2019-08-27 20:38:00,0.02,-5.0446,-5.0566,5.7309,10.7754,0.1,0.0025,0.1
2019-08-27 20:39:00,0.02,-5.014,-5.0446,5.7519,10.766,0.1,0.0025,0.1
2019-08-27 20:40:00,0.02,-4.9824,-5.014,5.7595,10.7419,0.1,0.0025,0.1
2019-08-27 20:41:00,0.02,-4.9831,-4.9824,5.7678,10.7509,0.1,0.0025,0.1
2019-08-27 20:42:00,0.02,-4.9636,-4.9831,5.7783,10.7419,0.1,0.0025,0.1
2019-08-27 20:43:00,0.02,-4.9395,-4.9636,5.7922,10.7317,0.1,0.0025,0.1
2019-08-27 20:44:00,0.02,-4.917,-4.9395,5.8047,10.7217,0.1,0.0025,0.1
2019-08-27 20:45:00,0.02,-4.9075,-4.917,5.8045,10.7119,0.1,0.0025,0.1
2019-08-27 20:46:00,0.02,-4.8879,-4.9075,5.8187,10.7066,0.1,0.0025,0.1
2019-08-27 20:47:00,0.02,-4.8719,-4.8879,5.8346,10.7065,0.1,0.0025,0.1
2019-08-27 20:48:00,0.02,-4.8426,-4.8719,5.8501,10.6927,0.1,0.0025,0.1
2019-08-27 20:49:00,0.02,-4.7991,-4.8426,5.874,10.6732,0.1,0.0025,0.1
2019-08-27 20:50:00,0.02,-4.7853,-4.7991,5.888,10.6732,0.1,0.0025,0.1
2019-08-27 20:51:00,0.02,-4.7765,-4.7853,5.896,10.6725,0.1,0.0025,0.1
2019-08-27 20:52:00,0.02,-4.7624,-4.7765,5.9102,10.6726,0.1,0.0025,0.1
2019-08-27 20:53:00,0.0205,-4.6942,-4.7624,5.9361,10.6302,0.1,0.0025,0.1
2019-08-27 20:54:00,0.02,-4.691,-4.6942,5.9389,10.6298,0.1,0.0025,0.1
2019-08-27 20:55:00,0.02,-4.6842,-4.691,5.9498,10.634,0.1,0.0025,0.1
2019-08-27 20:56:00,0.02,-4.6704,-4.6842,5.9634,10.6339,0.1,0.0025,0.1
2019-08-27 20:57:00,0.02,-4.6719,-4.6704,5.9662,10.6381,0.1,0.0025,0.1
2019-08-27 20:58:00,0.02,-4.6382,-4.6719,5.9803,10.6186,0.1,0.0025,0.1
2019-08-27 20:59:00,0.02,-4.5861,-4.6382,6.0044,10.5905,0.1,0.0025,0.1
2019-08-27 21:00:00,0.02,-4.599,-4.5861,6.005,10.6041,0.1,0.0025,0.1
2019-08-27 21:01:00,0.02,-4.5858,-4.599,6.0131,10.5989,0.1,0.0025,0.1
2019-08-27 21:02:00,0.02,-4.5613,-4.5858,6.0191,10.5804,0.1,0.0025,0.1
2019-08-27 21:03:00,0.02,-4.537,-4.5613,6.0379,10.5749,0.1,0.0025,0.1
2019-08-27 21:04:00,0.1085,-4.032,-4.537,6.3115,10.3435,0.1,0.0025,0.1
2019-08-27 21:05:00,0.02,-4.2385,-4.032,6.1614,10.3999,0.1,0.0025,0.1
2019-08-27 21:06:00,0.02,-4.3677,-4.2385,6.1185,10.4862,0.1,0.0025,0.1
2019-08-27 21:07:00,0.0224,-4.3658,-4.3677,6.1241,10.49,0.1,0.0025,0.1
2019-08-27 21:08:00,0.02,-4.3327,-4.3658,6.1437,10.4764,0.1,0.0025,0.1
2019-08-27 21:09:00,0.02,-4.3225,-4.3327,6.1493,10.4718,0.1,0.0025,0.1
2019-08-27 21:10:00,0.02,-4.3086,-4.3225,6.1578,10.4664,0.1,0.0025,0.1
2019-08-27 21:11:00,0.02,-4.2685,-4.3086,6.1747,10.4432,0.1,0.0025,0.1
2019-08-27 21:12:00,0.02,-4.2122,-4.2685,6.203,10.4152,0.1,0.0025,0.1
2019-08-27 21:13:00,0.02,-4.1928,-4.2122,6.2087,10.4014,0.1,0.0025,0.1
2019-08-27 21:14:00,0.02,-4.1751,-4.1928,6.2258,10.4009,0.1,0.0025,0.1
2019-08-27 21:15:00,0.02,-4.1714,-4.1751,6.2343,10.4056,0.1,0.0025,0.1
2019-08-27 21:16:00,0.02,-4.1636,-4.1714,6.2369,10.4005,0.1,0.0025,0.1
2019-08-27 21:17:00,0.0227,-4.0949,-4.1636,6.2686,10.3634,0.1,0.0025,0.1
2019-08-27 21:18:00,0.02,-4.1064,-4.0949,6.2713,10.3777,0.1,0.0025,0.1
2019-08-27 21:19:00,0.02,-4.0747,-4.1064,6.2885,10.3632,0.1,0.0025,0.1
2019-08-27 21:20:00,0.02,-4.0512,-4.0747,6.3026,10.3538,0.1,0.0025,0.1
2019-08-27 21:21:00,0.02,-4.0554,-4.0512,6.3025,10.3578,0.1,0.0025,0.1
2019-08-27 21:22:00,0.02,-4.0751,-4.0554,6.3057,10.3807,0.1,0.0025,0.1
2019-08-27 21:23:00,0.02,-4.0382,-4.0751,6.3195,10.3577,0.1,0.0025,0.1
2019-08-27 21:24:00,0.02,-4.0021,-4.0382,6.3366,10.3387,0.1,0.0025,0.1
