datetime,DOsp_1,Delta DOsp,error_1,error_2,Delta error,NH4,NO3,P,I,D,Cntrb. P,Cntrb. I,Cntrb. D
2019-10-01 00:01:00,0.02,0.0,-7.6525,-7.6525,0.0,5.6162,13.2687,0.175,0.00075,0.03,0.0,-0.0057,-0.0003
2019-10-01 00:02:00,0.0268,0.0068,-7.5916,-7.6525,0.0609,5.6488,13.2404,0.175,0.00075,0.03,0.0107,-0.0057,0.0018
2019-10-01 00:03:00,0.0229,-0.0039,-7.5738,-7.5916,0.0178,5.6669,13.2407,0.175,0.00075,0.03,0.0031,-0.0057,-0.0013
2019-10-01 00:04:00,0.0287,0.0058,-7.5155,-7.5738,0.0583,5.6853,13.2009,0.175,0.00075,0.03,0.0102,-0.0056,0.0012
2019-10-01 00:05:00,0.0322,0.0035,-7.4627,-7.5155,0.0528,5.7101,13.1728,0.175,0.00075,0.03,0.0092,-0.0056,-0.0002
2019-10-01 00:06:00,0.0256,-0.0066,-7.4599,-7.4627,0.0028,5.7128,13.1727,0.175,0.00075,0.03,0.0005,-0.0056,-0.0015
2019-10-01 00:07:00,0.02,-0.0056,-7.4634,-7.4599,-0.0035,5.7215,13.1848,0.175,0.00075,0.03,-0.0006,-0.0056,-0.0002
2019-10-01 00:08:00,0.0206,0.0006,-7.4339,-7.4634,0.0295,5.7393,13.1732,0.175,0.00075,0.03,0.0052,-0.0056,0.001
2019-10-01 00:09:00,0.02,-0.0006,-7.4083,-7.4339,0.0256,5.7473,13.1556,0.175,0.00075,0.03,0.0045,-0.0056,-0.0001
2019-10-01 00:10:00,0.02,0.0,-7.4096,-7.4083,-0.0013,5.7459,13.1556,0.175,0.00075,0.03,-0.0002,-0.0056,-0.0008
2019-10-01 00:11:00,0.0249,0.0049,-7.359,-7.4096,0.0506,5.7794,13.1383,0.175,0.00075,0.03,0.0089,-0.0055,0.0016
2019-10-01 00:12:00,0.02,-0.0049,-7.3913,-7.359,-0.0323,5.7874,13.1787,0.175,0.00075,0.03,-0.0057,-0.0055,-0.0025
2019-10-01 00:13:00,0.0228,0.0028,-7.3554,-7.3913,0.0359,5.8062,13.1616,0.175,0.00075,0.03,0.0063,-0.0055,0.002
2019-10-01 00:14:00,0.02,-0.0028,-7.3415,-7.3554,0.0139,5.8198,13.1612,0.175,0.00075,0.03,0.0024,-0.0055,-0.0007
2019-10-01 00:15:00,0.02,0.0,-7.3225,-7.3415,0.019,5.8387,13.1612,0.175,0.00075,0.03,0.0033,-0.0055,0.0002
2019-10-01 00:16:00,0.02,0.0,-7.3146,-7.3225,0.0079,5.8516,13.1662,0.175,0.00075,0.03,0.0014,-0.0055,-0.0003
2019-10-01 00:17:00,0.02,0.0,-7.3365,-7.3146,-0.0219,5.8577,13.1942,0.175,0.00075,0.03,-0.0038,-0.0055,-0.0009
2019-10-01 00:18:00,0.02,0.0,-7.3416,-7.3365,-0.0051,5.8631,13.2047,0.175,0.00075,0.03,-0.0009,-0.0055,0.0005
2019-10-01 00:19:00,0.02,0.0,-7.3297,-7.3416,0.0119,5.8741,13.2038,0.175,0.00075,0.03,0.0021,-0.0055,0.0005
2019-10-01 00:20:00,0.0207,0.0007,-7.2979,-7.3297,0.0318,5.8824,13.1803,0.175,0.00075,0.03,0.0056,-0.0055,0.0006
2019-10-01 00:21:00,0.0218,0.0011,-7.2615,-7.2979,0.0364,5.8948,13.1563,0.175,0.00075,0.03,0.0064,-0.0054,0.0001
2019-10-01 00:22:00,0.02,-0.0018,-7.2615,-7.2615,-0.0,5.8948,13.1563,0.175,0.00075,0.03,-0.0,-0.0054,-0.0011
2019-10-01 00:23:00,0.0216,0.0016,-7.2275,-7.2615,0.034,5.927,13.1545,0.175,0.00075,0.03,0.006,-0.0054,0.001
2019-10-01 00:24:00,0.02,-0.0016,-7.2049,-7.2275,0.0226,5.9375,13.1425,0.175,0.00075,0.03,0.0039,-0.0054,-0.0003
2019-10-01 00:25:00,0.02,0.0,-7.1986,-7.2049,0.0063,5.9495,13.1481,0.175,0.00075,0.03,0.0011,-0.0054,-0.0005
2019-10-01 00:26:00,0.0206,0.0006,-7.1686,-7.1986,0.03,5.968,13.1366,0.175,0.00075,0.03,0.0052,-0.0054,0.0007
2019-10-01 00:27:00,0.0255,0.0049,-7.1144,-7.1686,0.0542,5.993,13.1074,0.175,0.00075,0.03,0.0095,-0.0053,0.0007
2019-10-01 00:28:00,0.0224,-0.0031,-7.0956,-7.1144,0.0188,6.0122,13.1078,0.175,0.00075,0.03,0.0033,-0.0053,-0.0011
2019-10-01 00:29:00,0.0251,0.0027,-7.0536,-7.0956,0.042,6.0318,13.0855,0.175,0.00075,0.03,0.0073,-0.0053,0.0007
2019-10-01 00:30:00,0.02,-0.0051,-7.0601,-7.0536,-0.0065,6.0316,13.0918,0.175,0.00075,0.03,-0.0011,-0.0053,-0.0015
2019-10-01 00:31:00,0.02,0.0,-7.0601,-7.0601,-0.0,6.0316,13.0918,0.175,0.00075,0.03,-0.0,-0.0053,0.0002
